imageNames,numSigEffects,numSigTau,average_effect,lower_limit,upper_limit
BenzaitUnpublished_quest_ERQ_Reappraisal_resliced.nii,0,0,NaN,NaN,NaN
Brehl2020_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Burghart+SchmidtUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Diers2021_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Doerfel2014a_distancing_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Doerfel2014b_reinterpretation_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Gaebler2014_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
GaertnerDiersUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Gianaros2020-AHAB-II_erq_quest_resliced.nii,0,0,NaN,NaN,NaN
Gianaros2020-PIP_erq_quest_resliced.nii,0,0,NaN,NaN,NaN
Glosemeyer2020_quest_ERQtotal_resliced.nii,0,0,NaN,NaN,NaN
Guendelman&DziobekUnpublished_quest_CERQ_resliced.nii,0,0,NaN,NaN,NaN
HofhanselUnpublished_quest_ERQreapp_resliced.nii,0,0,NaN,NaN,NaN
HunekeUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Jentsch2019_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
KimUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
LaBarUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
MarinMorales2021_quest_CERQ_resliced.nii,0,0,NaN,NaN,NaN
Morawetz2016a_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Morawetz2019_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Morawetz2020_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Morawetz2021_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
MuellerPinzlerUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
MulejBratec2015_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
NetaUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Paschke2016_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
PowersUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Rehbein2021a_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Rehbein2021b_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
Sandner2021_quest_CERQ_resliced.nii,0,0,NaN,NaN,NaN
SidorenkoUnpublished_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
SokolowskiUnpublished_quest_CERQ_pos_reapp_resliced.nii,0,0,NaN,NaN,NaN
Steward2021_quest_ERQ_resliced.nii,0,0,NaN,NaN,NaN
VanReekum2021_quest_CERQ_resliced.nii,0,0,NaN,NaN,NaN
VanReekumUnpublished_quest_CERQ_resliced.nii,0,0,NaN,NaN,NaN
WessaUnpublished_ERQ_resliced_quest.nii,0,0,NaN,NaN,NaN
MinUnpublished_quest_resliced.nii,0,0,NaN,NaN,NaN
