"study","ni","ri","type","struct"
1,123,0,"j","s"
2,95,0.06,"p","u"
3,69,0.36,"j","s"
4,1832,0.15,"j","s"
5,78,0.14,"j","s"
6,329,0.06,"j","s"
7,153,0.09,"j","s"
8,29,0.4,"j","s"
9,29,0.39,"s","s"
10,157,0.14,"s","s"
11,149,0.36,"s","s"
12,92,0.28,"j","u"
13,15,0.62,"j","s"
14,15,0.07,"j","u"
15,170,0.18,"j","u"
16,19,0.42,"j","s"
17,19,0.08,"j","u"
18,68,0.18,"p","u"
19,93,0.43,"j","u"
20,57,0.04,"j","u"
24,57,0.05,"j","s"
25,275,0.35,"j","s"
29,31,0.25,"j","u"
30,407,0.68,"j","s"
31,84,0.61,"j","s"
32,8,0.81,"j","s"
33,6,0.99,"j","s"
34,7,0.66,"j","s"
35,12,0.45,"j","s"
36,14,0.71,"j","s"
37,40,0.27,"j","s"
38,40,-0.02,"j","s"
39,99,0.29,"j","u"
40,164,0.13,"j","u"
41,67,0.03,"j","u"
42,57,0,"j","u"
43,50,0.09,"j","s"
44,129,-0.03,"j","u"
45,49,0.46,"s","s"
46,63,0.3,"s","s"
47,56,0.33,"s","s"
49,20,0.64,"j","s"
50,122,0.12,"j","u"
51,51,0.15,"j","u"
52,40,0.44,"j","u"
53,210,0,"j","s"
54,334,0.16,"j","s"
56,180,0.29,"j","s"
57,93,0.19,"j","u"
58,472,0.04,"j","u"
59,44,0.56,"j","u"
60,75,0.14,"j","u"
61,68,0.44,"j","u"
62,38,0.36,"j","u"
67,200,0.22,"j","s"
68,850,0.44,"j","s"
69,41,0.27,"j","s"
70,32,0.11,"j","s"
71,65,0.27,"j","s"
72,125,-0.07,"j","s"
73,134,0.32,"j","s"
74,21,0.05,"j","u"
75,44,0.2,"j","u"
76,170,0.18,"j","u"
77,149,0.34,"j","s"
78,296,0.03,"j","s"
79,24,0.45,"s","s"
80,312,0.34,"j","s"
81,205,0.51,"j","s"
82,30,0.41,"s","s"
83,11,0.37,"s","s"
84,22,0.25,"s","s"
85,37,-0.17,"j","s"
86,43,0.47,"j","s"
87,72,0.32,"j","s"
88,72,-0.09,"s","s"
89,108,0.33,"j","s"
90,73,0.22,"j","s"
91,73,0.27,"s","s"
92,117,0,"j","s"
93,80,0.41,"j","s"
94,95,0.16,"j","s"
95,182,0,"j","s"
96,93,0.03,"j","s"
97,64,0.01,"j","s"
98,370,0.03,"j","s"
99,131,0.14,"j","s"
100,87,0.11,"j","s"
101,80,0.08,"j","s"
102,41,-0.13,"j","s"
103,35,0.13,"j","u"
104,106,0.36,"j","s"
105,86,0.06,"j","s"
106,54,0.19,"j","s"
107,393,0.27,"j","s"
108,102,0.17,"j","s"
109,115,0.34,"j","s"
110,63,0.28,"s","s"
111,22,0.11,"j","s"
112,37,0.07,"j","u"
114,416,0.12,"j","u"
115,101,0.12,"j","u"
116,1359,0.37,"j","u"
117,82,0.26,"p","u"
118,32,0.42,"j","s"
119,42,0.37,"j","s"
120,196,0.17,"j","s"
121,44,0.19,"j","s"
122,47,0.32,"s","s"
124,12,0.24,"j","s"
126,73,0.36,"j","s"
127,73,0.26,"s","s"
128,70,0.42,"j","s"
129,30,0.62,"j","s"
130,60,0.87,"j","s"
131,38,-0.07,"j","s"
132,12,0.65,"j","s"
133,33,0.17,"j","u"
134,33,0.3,"j","u"
135,28,0.45,"s","s"
136,51,0.24,"p","u"
137,49,0.02,"p","u"
138,164,0.23,"j","s"
139,195,0.17,"j","s"
140,165,0.32,"j","s"
141,40,0.36,"j","s"
142,100,0.09,"p","s"
143,4195,0.13,"j","u"
144,179,0.29,"j","s"
145,74,0.49,"j","s"
146,110,0.4,"j","s"
147,31,0.23,"j","s"
148,70,0.31,"j","s"
149,21,0.46,"j","s"
150,29,-0.12,"j","s"
151,51,0.22,"j","u"
152,51,0.59,"j","s"
153,40,0.21,"j","s"
154,40,0.02,"j","s"
155,129,-0.03,"j","s"
156,196,0.28,"j","s"
157,31,-0.04,"j","s"
158,494,0.19,"j","u"
159,101,0.23,"j","s"
160,175,0.3,"j","s"
